I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
5,5,3,4,5,Battery safety experience -- understanding how to minimize potential failures/TR.,"Product integration (vehicles, mobility), Recycling, Consulting",Masters,Mechanical Engineering,United States,78260,160000,40,33,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,1,160000,,1,0,9,"Consulting, Testing & R&D",Mid-sized (stable growth),United States,Texas,5,"1,001-5,000",21-50,Manager,"Engineering and design, Managing people, Managing projects or programs, Research and development, Strategy and planning, Testing and validation",Manager,"Job security, Challenge and innovation",No,,2,2,3,5,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills",3,"Drive/ambition, desire to learn, systems-level knowledge about batteries",Senior staff engineers,"Compensation, Location",0,TRUE,4,3,4,4,"Salary, bonuses, Career growth opportunities, Work location flexibility","Higher compensation, ability to better focus on value-add contributions",,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:09:12,na5tfjdiut2ly6nesssh30bna5tfq0ad
4,5,5,5,5,"Battery Management Systems, Battery Modeling, Battery Charging, Battery Thermal Controls","Energy infrastructure, Product integration (stationary storage), Product integration (vehicles, mobility)",Doctorate,Mechanical Engineering,United States,16803,30000,40,26,Asian,Male,Non-citizen (F1/M1/OPT holder),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,"Battery Algorithm Engineer, Thermal Controls Engineer, BMS Engineer, Propulsion Controls Engineer","Product integration (vehicles, mobility), Energy infrastructure, Product integration (stationary storage), Module/pack production, Cell production, Product integration (electronics)","Career growth opportunities, Sustainability and impact, Competitive salary and benefits, Challenge and innovation, Learning and skills development, Supportive team and environment, Job security, Desirable work location, Work-life balance",170000,3,,"Engineering and design, Research and development, New product introduction, Manufacturing and production","Reinforcement Learning, Thermal Controls, HVAC","HVAC (deeper understanding), GT Suite, Kalman Filtering implementation, Production Codes","Yes. Thermal controls, Production codes navigation, Power electronics, Communication systems in sensors",57,40,10/4/2024 17:08:19,1mblej605fgf6kytgqh61mblejy2nx4g
4,4,3,5,4,"Process scale-up, Electrolyte development, Electrochemical data analysis","Module/pack production, Product integration (vehicles, mobility), Equipment manufacturing",Doctorate,Chemical Engineering,United States,94530,147000,0,31,White,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,4,2,2,147000,"Bonuses (based on individual performance), Equity (stock, options, etc.), Health and wellness stipends, Childcare expense reimbursement, Transit reimbursement",1,1,3,"Cell production, Module/pack production",Scale-up (rapid growth),United States,California,4,101-250,1-10,Senior R&D Scientist,"Engineering and design, Managing people, Managing projects or programs, Quality, Research and development, Manufacturing and production, Product design, Supply chain",Expert,"Competitive salary and benefits, Sustainability and impact, Supportive team and environment, Desirable work location, Work-life balance, Learning and skills development, Confidence in reported results",No,,1,2,3,4,"Learning on the job, Peer mentors","More hands-on skills, Better foundational knowledge, More organized documentation of prior research conducted at the company",4,"Electrochemical cell testing, Materials characterization, Interpersonal relationship building","Battery Module Engineer, Reliability Engineer, Safety Engineer","Lack of resources for internal growth and development once hired, Inability for small startups to provide reasonable benefits, Lack of training in certain disciplines",1,TRUE,5,3,1,4,"Work location flexibility, Total hours worked, Vacation time, Job stability, Salary, bonuses, Company culture, Location","Geography, salary, work-life balance",,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:01:03,zmly50jagr5jray68etzmly53l35v2rf
4,4,2,2,4,Engineering supply chain project development,Product integration (stationary storage),Doctorate,Physics,United States,98043,226000,100,53,,Female,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:01:01,hqt6f9ejnutel7lnt2dhqt6f9zk71vj6
3,3,2,2,2,Battery manufacturing; go-to-market experience; thermal management,"Mining, Refining, Recycling",Doctorate,Chemical Engineering,United States,94117,184000,60,34,Middle Eastern or North African,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,2,4,1,184000,"Equity (stock, options, etc.)",0,0,5,Component/precursor production,Scale-up (rapid growth),United States,California,5,251-500,1-10,Engineering Manager,"Engineering and design, Managing people, Managing projects or programs, New product introduction (NPI), Product design, Quality, Research and development, Testing and validation",Manager,"Supportive team and environment, Sustainability and impact, Desirable work location, Challenge and innovation",No,,1,2,3,5,"Learning on the job, Peer mentors",More hands-on skills,0,Interpersonal skills; problem solving; organization,Quality engineer; product manager,,1,TRUE,4,1,1,4,"Job stability, Salary, bonuses, Equity, Career growth opportunities, Work location flexibility, Total hours worked, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 17:00:58,r33w6yq3zl1546nr33w4vo1ms9glzzi8
5,4,2,5,3,Technical expertise; basic chemistry knowledge; presentation and communication skills,"Refining, Component/precursor production, Recycling",Doctorate,,Germany,81925,95000,55,34,White,Male,Citizen (native-born),Yes,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,4,4,80000,"Bonuses (based on individual performance), Bonuses (based on company performance)",1,1,3,Consulting,Established (significant market presence),Germany,,5,"1,001-5,000",21-50,Senior Consultant,"Finance, Managing projects or programs, Product design, Manufacturing and production, Testing and validation, Supply chain, Strategy and planning",Senior,"Challenge and innovation, Career growth opportunities, Sustainability and impact, Learning and skills development",No,,2,3,4,5,Learning on the job,"Better understanding of culture and norms, More hands-on skills",0,Curiosity; common sense; frustration tolerance,,Availability of people,1,TRUE,,,,,"Salary, bonuses, Equity, Vacation time, Parental leave, Perks, Total hours worked, Company culture",Location in Europe ; no consulting anymore,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:59:06,biie0sttim0e2tkzfmbiie0sbeczoty2
5,4,4,5,5,Manufacturing excellence; supply chain logistics management; safety,"Equipment manufacturing, Cell production, Energy infrastructure",Doctorate,Engineering Science,United States,10024,115000,60,28,Asian,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,3,115000,Commissions,0,0,1,"Cell production, Module/pack production",Startup (early growth),United States,New York,5,1-10,1-10,,"Engineering and design, Managing people, Product design, Strategy and planning, Supply chain, Managing projects or programs",Executive,Challenge and innovation,"Yes, in a different role",Scientist,2,2,3,4,"Learning on the job, Formal training programs, Peer mentors","More hands-on skills, Better understanding of culture and norms",3,"Quick learning, coding & analytical skills, communication",Skilled technicians,Geographical concentration of certain talents,3,FALSE,4,5,4,4,"Company culture, Total hours worked, Career growth opportunities, Salary, bonuses",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:56:06,uwf7qzhrc6t4sjquwf7pou6x8t90jwj2
5,5,4,5,5,Material Characterization; Programming; Hardware Knowledge,"Module/pack production, Software, Product integration (vehicles, mobility)",Masters,Engineering Science,Belgium,1050,30000,40,29,Asian,Male,Non-citizen (Other),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,5,Battery Researcher,"Cell production, Product integration (vehicles, mobility), Energy infrastructure, Software","Supportive team and environment, Work-life balance, Job security, Career growth opportunities, Autonomy and independence, Learning and skills development, Challenge and innovation, Competitive salary and benefits",5000,1,,"Research and development, Managing people, Testing and validation",Characterisation; Battery Testing; Cell Fabrication,Electrochemistry; Coding; Material Science,NA,15,20,10/4/2024 16:53:27,xw0ysq3f58s1exw0ysoqb3r5hef794jo
4,3,4,4,3,"sales, energy market architecture, public speaking",Software,Masters,Engineering (Other),United States,61801,200000,40,39,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,4,4,160000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",1,3+,3,Software,Scale-up (rapid growth),United States,Illinois,0,101-250,1-10,Technical Solution Engineer,"Engineering and design, Managing projects or programs, Marketing, Sales and services, Software development, Strategy and planning, Testing and validation",Senior,"Work-life balance, Challenge and innovation, Career growth opportunities, Competitive salary and benefits",No,,2,3,4,5,"Learning on the job, Peer mentors",Better understanding of culture and norms,0,"speaking, negotiation, listening","solution engineer, software engineer, customer success","location, limited pool of candidates, lack of cross functional skills",2,TRUE,4,3,4,5,"Salary, bonuses, Equity, Career growth opportunities, Work location flexibility, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:51:38,pb428cjrki9nqmpb424o7eawf0yale06
5,5,4,4,5,"Product development, business development, sales & marketing",R&D,Bachelors,Management and Business Administration,United States,02142,120000,40,44,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:49:28,tw5ghya8e53wzks26kz3mkztw5ghya5y
4,4,4,4,4,"Complex problem solving, manage preassure, innovation","Cell production, Recycling, Equipment manufacturing",Doctorate,Chemistry,Spain,,,40,34,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,4,40000,"Equity (stock, options, etc.)",0,0,4,Cell production,Startup (early growth),Spain,,5,1-10,1-10,CTO,"Research and development, Strategy and planning, Product design, Quality, Managing projects or programs, Managing people, Testing and validation",Executive,"Work-life balance, Desirable work location, Sustainability and impact, Challenge and innovation, Career growth opportunities",No,,3,3,4,4,"Learning on the job, Formal training programs",Better understanding of culture and norms,1,"Complex problem solving, innovation, efficiency",,,,FALSE,3,4,,3,"Salary, bonuses, Job stability, Total hours worked, Career growth opportunities",The project,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:49:18,pqv2w8i319gw0ipqv2wypjmst6ng7h22
3,3,3,3,3,"1, 2, 3","Refining, Energy infrastructure, Recycling",Doctorate,Materials Science and Engineering,United States,94606,0,0,51,White,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,4,2,4,187000,"Bonuses (based on company performance), Equity (stock, options, etc.)",1,3+,3,Component/precursor production,Startup (early growth),United States,California,4,11-50,1-10,Staff Engineer,Research and development,Career,"Desirable work location, Challenge and innovation, Supportive team and environment","Yes, in a similar role",,3,4,5,5,"Learning on the job, Peer mentors",Better understanding of culture and norms,0,,,,2,TRUE,3,,,4,"Company culture, Work location flexibility",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:46:48,frhirr5f7xh5qivu18frhirrepqdd8sn
5,5,4,5,5,"Marketing, Manufacturability, Leadership","Product integration (vehicles, mobility)",Masters,Mechanical Engineering,United States,98006,200000,50,52,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,4,4,220000,"Equity (stock, options, etc.)",1,0,4,"Product integration (vehicles, mobility), Product integration (electronics), Equipment manufacturing",Startup (early growth),United States,Michigan,3,11-50,1-10,CEO,"Engineering and design, Investor, IT infrastructure, Legal, Managing people, Managing projects or programs, Marketing, Manufacturing and production, New product introduction (NPI), Product design, Quality, Sales and services, Software integration",Expert,Autonomy and independence,"Yes, in a similar role",,5,5,,,Peer mentors,Better foundational knowledge,0,Lean Startup,Sales,"Lack of industry knowledge, pay, candidates work ethic",1,FALSE,5,5,5,5,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:44:06,ydevg42ib42ouqzv4liydevg4243qyw5
5,3,5,5,5,Skill 1 Prior knowledge of industry Skill 2 ability to formulate effective procedures skill 3 flexibility,Recycling,Some college,Liberal Arts,United States,14080,100000,40,64,Decline to answer,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:41:43,2s69quutdr4azs7yzv2s69quv2rohp0b
4,5,3,5,5,"EIS, design of experiment, pouch cell build experience","Recycling, Component/precursor production, Refining",Doctorate,Chemical Engineering,United States,94070,175000,60,31,White,Non-binary,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,2,3,175000,"Equity (stock, options, etc.)",0,0,1,Component/precursor production,Startup (early growth),United States,California,4,1-10,1-10,Lead Battery Scientist,"Research and development, Strategy and planning, Testing and validation, Recruiting, Managing people",Manager,"Challenge and innovation, Competitive salary and benefits, Learning and skills development","Yes, in a different role",R&D in polymers industry,3,4,5,4,Learning on the job,More hands-on skills,0,"independent learner, good networker, good presentation skills","automation engineering, management","finding the right applicants, elitism & bias",1,FALSE,3,4,2,4,"Salary, bonuses, Equity, Vacation time, Work location flexibility, Total hours worked, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:41:34,z5j3oi3jgl9q3c1z5uggs7jhm1ryd9lw
5,5,5,5,5,Skill 1 - Problem solving skills,"Module/pack production, Cell production, Mining",Bachelors,Electrical Engineering,India,628653,900000,55,29,Asian,Male,,No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,2,1200000,Bonuses (based on individual performance),1,,3,Module/pack production,Established (significant market presence),India,,6,"10,001-25,000",21-50,Deputy manager Battery operations,"Quality, Manufacturing and production",Expert,"Challenge and innovation, Career growth opportunities","Yes, in a different role",Electronics manufacturing industry,4,4,4,4,Learning on the job,"Better foundational knowledge, Better understanding of culture and norms, More hands-on skills",1,Problem solving skills,Manufacturing; design; Quality,Electrical knowledge; Battery safety; Analytics thinking,3,TRUE,4,3,3,4,"Career growth opportunities, Job stability, Visa sponsorship",New learning; work life balance,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:40:01,xz8porlg8o47035mtxz8porzxbxt31k8
4,4,5,5,5,"Subject Matter Expertise, Market Research, Commercial Negotiations","Mining, Refining, Component/precursor production",Masters,,United States,91501,300000,50,40,Asian,Male,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,1,4,215000,"Equity (stock, options, etc.)",1,0,4,Equipment manufacturing,Scale-up (rapid growth),United States,California,5,101-250,11-20,Senior Director of Procurement,Supply chain,Director/VP,"Supportive team and environment, Learning and skills development, Sustainability and impact, Desirable work location, Competitive salary and benefits, Challenge and innovation, Work-life balance, Autonomy and independence, Career growth opportunities","Yes, in a different role",Senior Sourcing Manager,3,4,5,5,Learning on the job,Better foundational knowledge,1,"Strategic Sourcing and Supplier Management, Cost Management, Risk Management, Leadership and Team Development",Battery Engineer,"Lack of good talent, Salary budget",0,TRUE,4,3,4,4,"Salary, bonuses, Equity, Career growth opportunities, Visa sponsorship",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:38:06,e3cfxxpw289lltx7necheue3cfx3gjqg
5,5,3,4,4,Faire protection engineering; maintenance; manufacturing technician,"Cell production, Product integration (vehicles, mobility), Energy infrastructure",Masters,Materials Science and Engineering,United States,80526,150000,50,39,White,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,1,5,120000,Commissions,1,3+,1,Nonprofit,Scale-up (rapid growth),United States,Colorado,0,1-10,1-10,Director of Member Success,Sales and services,Expert,"Hybrid/remote work, Supportive team and environment, Work-life balance, Sustainability and impact, Autonomy and independence, Challenge and innovation","Yes, in a different role",Business Development Manager,4,4,2,2,"Formal training programs, Learning on the job, Peer mentors",Better foundational knowledge,1,Program Management; Communication; Leadership,Research; Program Management; Education,Funding,1,FALSE,5,5,5,5,"Salary, bonuses, Job stability, Vacation time, Perks, Work location flexibility, Company culture",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 16:36:40,oyvi3dxeck9343kxm0oyvi3dzlf46u21
